"ID",Isolate Number,HN,Unit,Species,Breed,Sex,Submitted sample,Method of collection,Methods,Vitek card lot,Bacterial species identification,Counting (CFU/mL),ESBL,Ampicillin,ampicillin_,Amoxicillin/clavulanic acid,amoxicillin/clavulanic acid_,Cephalexin,cephalexin_,Cefalothin,cefalothin_,Cefpodoxime,cefpodoxime_,Cefovecin,cefovecin_,Ceftiofur,ceftiofur_,Imipenem,imipenem_,Amikacin,amikacin_,Gentamicin,gentamicin_,Neomycin,neomycin_,Enrofloxacin,enrofloxacin_,Marbofloxacin,marbofloxacin_,Pradofloxacin,pradofloxacin_,Doxycycline,doxycycline_,Tetracycline,tetracycline_,Nitrofurantoin,nitrofurantoin_,Chloramphenicol,chloramphenicol_,Sulfamethoxazole/trimethoprim,sulfamethoxazole/trimethoprim_,Specific resistance phenotype,Interpretation and recommendation
105,M353/2566,,,Dog,Siberian Husky,Female,wound swab,NA,Vitek/MALDI,GN-AST,Enterobacter cloacae,NA,NA,NA,NA,16,*R,>=64,R,32,R,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,Enterobacter cloacae,"- 	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Doxycycline 5 mg/kg q12h หรือ 10 mg/kg q12-24h PO PC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o Enrofloxacin 5 mg/kg q24h PO AC for at least 7 d หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่
        เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for at least 7 d หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ใน
        กรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
106,M359/2566,6602318,หน่วยเวชศาสตร์ฉุกเฉิน,Dog,Mixed breed,Male,Urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,16,R,8,S,16,S,<=0.25,S,2,S,<=1,S,<=0.25,S,<=2,S,<=1,S,16,I,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,<=16,S,>=64,R,>=320,R,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่ 
     o Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 
        สัปดาห์"
107,M355/2566,6602297,แผนกสูติกรรม,Cat,Scottish Fold,Male,urine,NA,Vitek/MALDI,GN-AST,Proteus mirabilis,6.4x10^4,NA,>=32,R,>=32,R,16,S,4,S,<=0.25,S,<=0.5,S,<=1,S,4,R,<=2,S,8,R,16,I,>=4,R,>=4,R,0.25,S,>=16,R,>=16,R,128,R,>=64,R,>=320,R,Proteus mirabilis,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
- 	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
        (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หากแมวมีความผิดปกติของไตหรือเกิดภาวะแห้งนํ้า เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)
     o	 Cefovecin 8 mg/kg SC once"
108,M364/2566,,,Cat,Siamese,Male,swab หนองจากแผล,NA,Vitek/MALDI,GN-AST,Pasteurella multocida,NA,NA,<=2,S,<=2,S,<=4,S,NA,NA,<=0.25,S,NA,NA,<=1,S,<=0.25,S,NA,NA,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,NA,NA,<=1,S,NA,NA,<=2,S,<=20,S,Pasteurella multocida,"-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Cephalexin 25-30 mg/kg q12h PO for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่
        เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก  
        2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
109,M368/2566,6215155,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Cat,Domestic Shorthair (DSH),Male,urine,catheterization,Vitek/MALDI,GN-AST,Proteus mirabilis,>10^5,NA,>=32,R,>=32,R,>=64,R,>=64,R,4,*R,>=8,R,>=8,R,8,R,<=2,S,8,R,4,S,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,256,R,16,I,>=320,R,Proteus mirabilis,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ได้แก่
     o Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
        (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หากแมวมีความผิดปกติของไตหรือเกิดภาวะแห้งนํ้า เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)"
110,M370/2566,6601593,ศัลยกรรม,Dog,Shih Tzu,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,>10^5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,S,8,I,4,I,NA,NA,1,I,<=0.5,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ได้แก่ 
     o	 Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์"
111,M366/2566,5806850,หน่วยหอสัตว์ป่วยวิกฤต,Dog,Mixed breed,Male,hemoculture,NA,Vitek/MALDI,GN-AST,Burkholderia cepacia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=16,R,32,*R,>=16,R,NA,NA,0.5,S,1,S,NA,NA,4,S,>=16,R,NA,NA,16,I,<=20,S,Burkholderia cepacia,"-	 Burkholderia cepacia เป็น saprophytic bacterium ที่พบได้ในสิ่งแวดล้อม มักมีการปนเปื้อนใน infusion/irrigation solutions จึงแนะนำให้วินิจฉัยแหล่งที่มาของการติดเชื้อและกำจัดสาเหตุ
-	 การติดเชื้อในเลือดจัดเป็น medical emergency มีอันตรายและความเสี่ยงที่ทำให้เกิดการติดเชื้อทั่วร่างกาย จำเป็นต้องใช้ยาต้านจุลชีพตามระบบ แนะนำให้ใช้ยาฉีดมากกว่ายากิน ซึ่งยาที่แนะนำ ได้แก่
     o 	Enrofloxacin 10-20 mg/kg q24h หรือแบ่งให้ 5-10 mg/kg q12h SC (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7        d หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็น
        การติดเชื้อเรื้อรัง
     o 		Marbofloxacin 11-22 mg/kg q24h หรือแบ่งให้ 5.5-11 mg/kg q12h SC (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at  
        least 7 d หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ใน
        กรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	(หากอาการไม่รุนแรง) Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
112,M371/2566,6001558,หน่วยเวชศาสตร์ฉุกเฉิน,Dog,Mixed breed,Male,hemoculture,NA,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,NA,NEG,>=32,R,>=32,R,>=64,R,>=64,R,2,S,>=8,R,2,S,<=0.25,S,>=64,R,>=16,R,16,I,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,<=16,S,>=64,R,<=20,S,Klebsiella pneumoniae,"-	 การติดเชื้อในเลือดจัดเป็น medical emergency มีอันตรายและความเสี่ยงที่ทำให้เกิดการติดเชื้อทั่วร่างกาย จำเป็นต้องใช้ยาต้านจุลชีพตามระบบ แนะนำให้ใช้ยาฉีดมากกว่ายากิน ซึ่งยาที่แนะนำ ได้แก่
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	(หากอาการไม่รุนแรง) Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
113,M375/2566,,,Dog,Shih Tzu,Female,vaginal swab,NA,Vitek/MALDI,GN-AST,Escherichia coli,NA,NEG,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,>=16,R,8,I,>=16,R,<=2,S,>=4,R,>=4,R,>=4,R,8,I,>=16,R,<=16,S,<=2,S,<=20,S,Escherichia coli,"- ยาต้านจุลชีพตามระบบที่แนะนำ ได้แก่
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
114,M394/2566,,,Dog,Corgi,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,POS,>=32,R,16,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,>=64,R,>=16,R,<=2,S,1,I,1,S,0.25,S,>=16,R,>=16,R,<=16,S,16,I,>=320,R,ESBL-producing Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
- 	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o	 Marbofloxacin 11-22 mg/kg q24h หรือแบ่งให้ 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหาย
        สนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 
        สัปดาห์
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days  หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
115,M396/2566,6601685,ศัลยกรรม,Dog,Bulldog,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,16,R,<=1,S,<=2,S,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,<=16,S,16,I,>=320,R,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
- 	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 
        สัปดาห์
     o Gentamicin 6 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
        (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งนํ้า เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days  หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
116,M397/2566,5506632,หน่วยหอสัตว์ป่วยวิกฤต,Dog,English Cocker Spaniel,Male,urine,catheterization,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,>10^5,NEG,>=32,R,>=32,R,>=64,R,>=64,R,2,S,4,I,4,I,<=0.25,S,>=64,R,>=16,R,>=64,R,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,32,S,>=64,R,<=20,S,Klebsiella pneumoniae,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 
        สัปดาห์
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days  หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
117,M378/2566,6601740,หอสัตว์ป่วยในศัลยกรรม,Cat,Domestic Shorthair (DSH),Female,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,2.0x10^3,POS,>=32,R,16,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,>=4,R,1,S,<=1,S,<=16,S,4,S,<=20,S,ESBL-producing Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 
        สัปดาห์
     o Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
        (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หากแมวมีความผิดปกติของไตหรือเกิดภาวะแห้งนํ้า เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days  หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
118,M377/2566,6602068,หน่วยอายุรกรรมทั่วไปและเวชศาสตร์ป้องกัน,Dog,Shih Tzu,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,2.0x10^3,NEG,16,R,4,S,8,S,16,S,0.5,S,2,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,0.5,S,<=0.5,S,<=0.12,S,1,R,4,S,<=16,S,16,I,<=20,S,Escherichia coli,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก
        1-2 สัปดาห์
     o Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท"
119,M390/2566,6411632,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Cat,Persian,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,POS,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,4,S,>=16,R,<=2,S,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,<=16,S,>=64,R,>=320,R,ESBL-producing Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่ 
     o Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 
        สัปดาห์
     o 	Amikacin 30 mg/kg q24h หรือแบ่งให้ 15 mg/kg q12h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท  
        และให้ยาต่อไปอีก 1-2 สัปดาห์ (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หากแมวมีความผิดปกติของไตหรือเกิด
        ภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days  หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
120,M409/2566,6602442,หน่วยหอสัตว์ป่วยใน,Cat,Domestic Shorthair (DSH),Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Acinetobacter baumannii,>10^5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=16,R,NA,NA,>=16,R,NA,NA,>=4,R,>=4,R,NA,NA,8,I,>=16,R,NA,NA,NA,NA,160,R,Acinetobacter baumannii,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
- 	เชื้อเป็น multidrug resistance ดื้อยาต้านจุลชีพตามระบบที่ใช้ในการรักษารพ สัตว์เล็กทุกชนิด แนะนำให้ flush ล้างกระเพาะปัสสาวะด้วย Microcyn® เพื่อช่วยกำจัด/ลดจำนวนเชื้อในกระเพาะปัสสาวะ และจัดการกับสาเหตุโน้มนำต่างๆ เช่น ไม่คาท่อ/สายสวนปัสสาวะ จัดการปัญหานิ่ว เป็นต้น"
121,M419/2566,,,Dog,Corgi,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,4,S,4,S,8,S,8,S,<=0.25,S,1,S,<=1,S,<=0.25,S,<=2,S,>=16,R,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,<=2,S,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก
        1-2 สัปดาห์
     o Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท"
122,B73/2566,6602280,Pathology Division,Dog,Cavalier,Female,Lung 23P112R (ส่งตรวจMIC อย่างเดียว),NA,Vitek,GN-AST,Pseudomonas sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,S,4,S,>=16,R,NA,NA,>=4,R,>=4,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas sp,"- การติดเชื้อในช่องอกจัดเป็น medical emergency มีอันตรายและความเสี่ยงที่ทำให้เกิดการติดเชื้อทั่วร่างกาย จำเป็นต้องใช้ยาต้านจุลชีพตามระบบ แนะนำให้ใช้ยาฉีดมากกว่ายากิน ซึ่งยาที่แนะนำ ตามลำดับ ได้แก่
     o 	Amikacin 30 mg/kg q24h หรือแบ่งให้ 15 mg/kg q12h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์ (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะ
        แห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
123,M424/2566,6602562,ศัลยกรรม,Cat,Domestic Shorthair (DSH),Male,Chronic open wound,NA,Vitek/MALDI,GN-AST,Proteus mirabilis,NA,NA,>=32,R,<=2,S,16,I,4,S,<=0.25,S,<=0.5,S,<=1,S,2,I,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,128,R,>=64,R,>=320,R,Proteus mirabilis,"-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก
        1-2 สัปดาห์
     o	 Cefovecin 8 mg/kg SC once
     o 	Enrofloxacin 5 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์"
